mean_elev,rel_area,surface
1600,0.0036998003877345086,3
1800,0.008001544567928164,3
2000,0.013031377389493547,3
2200,0.01729693930090095,3
2400,0.024235613090092128,3
2600,0.03482084351644978,3
2800,4.006209233360705e-5,2
2800,0.04347501587080425,3
3000,4.747151503954444e-4,1
3000,3.775819409932953e-4,2
3000,0.05816528863298419,3
3200,3.6054141454658676e-4,1
3200,0.0011337367554728691,2
3200,0.07379900448922103,3
3400,0.002219299150412084,1
3400,0.002260461203697705,2
3400,0.0879373764006779,3
3600,0.006047954289289976,1
3600,0.00476333180785062,2
3600,0.0932142594215132,3
3800,0.014404336535720248,1
3800,0.009703908472723455,2
3800,0.08851677204913347,3
4000,0.011920102116502808,1
4000,0.011617802250110271,2
4000,0.07669854157740584,3
4200,0.010597164257371477,1
4200,0.00794511085427983,2
4200,0.062374499989126315,3
4400,0.009461455148153398,1
4400,0.004346584038453981,2
4400,0.04846648603326228,3
4600,0.0073402621664820505,1
4600,0.002326489729327945,2
4600,0.03699295950946601,3
4800,0.0073152310452612,1
4800,8.412623790119654e-4,2
4800,0.02737947957543505,3
5000,0.006554033610895528,1
5000,4.3064561320520266e-4,2
5000,0.016129519186792663,3
5200,0.007936141322177891,1
5200,1.7726496730674832e-4,2
5200,0.01409338627306094,3
5400,0.010602200623510761,1
5400,2.704023123663384e-5,2
5400,0.008694258465093294,3
5600,0.009017794680919795,1
5600,0.006491919207268754,3
5800,0.0014912838408649369,1
5800,0.0037657345636039528,3
6000,4.4266906529991616e-4,1
6000,0.001800725946891785,3
6200,1.7225844024653712e-4,1
6200,9.404102784913626e-4,3
6400,1.3019550197969494e-5,1
6400,7.95192234306052e-4,3
